Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Streptococcus pneumoniae

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Streptococcus pneumoniae","Co-trimoxazole","THA","Thailand","South-East Asia Region",220,92,41.818181818
"Bloodstream","Streptococcus pneumoniae","Oxacillin","THA","Thailand","South-East Asia Region",50,12,24
"Bloodstream","Streptococcus pneumoniae","Penicillin G","THA","Thailand","South-East Asia Region",264,14,5.303030303
"Bloodstream","Streptococcus pneumoniae","Cefotaxime","TUR","T<U+00FC>rkiye","European Region",174,11,6.32183908
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone","TUR","T<U+00FC>rkiye","European Region",138,7,5.072463768
"Bloodstream","Streptococcus pneumoniae","Oxacillin","TUR","T<U+00FC>rkiye","European Region",66,43,65.151515152
"Bloodstream","Streptococcus pneumoniae","Penicillin G","TUR","T<U+00FC>rkiye","European Region",237,37,15.611814346
"Bloodstream","Streptococcus pneumoniae","Cefotaxime","UKR","Ukraine","European Region",57,0,0
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone","UKR","Ukraine","European Region",62,0,0
"Bloodstream","Streptococcus pneumoniae","Oxacillin","UKR","Ukraine","European Region",61,13,21.31147541
"Bloodstream","Streptococcus pneumoniae","Penicillin G","UKR","Ukraine","European Region",30,3,10
"Bloodstream","Streptococcus pneumoniae","Cefotaxime","XKX","Kosovo","European Region",10,0,0
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone","XKX","Kosovo","European Region",10,0,0
"Bloodstream","Streptococcus pneumoniae","Oxacillin","XKX","Kosovo","European Region",10,2,20
"Bloodstream","Streptococcus pneumoniae","Penicillin G","XKX","Kosovo","European Region",10,1,10
"Bloodstream","Streptococcus pneumoniae","Ceftriaxone","ZAF","South Africa","African Region",363,0,0
"Bloodstream","Streptococcus pneumoniae","Co-trimoxazole","ZAF","South Africa","African Region",363,163,44.903581267
"Bloodstream","Streptococcus pneumoniae","Penicillin G","ZAF","South Africa","African Region",363,123,33.884297521
