Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Salmonella spp.

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Salmonella spp.","Ciprofloxacin","GBR","United Kingdom of Great Britain and Northern Ireland","European Region",412,187,45.388349515
"Bloodstream","Salmonella spp.","Meropenem","GBR","United Kingdom of Great Britain and Northern Ireland","European Region",282,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","GRC","Greece","European Region",23,0,0
"Bloodstream","Salmonella spp.","Ceftazidime","GRC","Greece","European Region",23,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","GRC","Greece","European Region",23,10,43.47826087
"Bloodstream","Salmonella spp.","Meropenem","GRC","Greece","European Region",23,0,0
"Bloodstream","Salmonella spp.","Ceftazidime","HRV","Croatia","European Region",13,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","HRV","Croatia","European Region",12,3,25
"Bloodstream","Salmonella spp.","Cefotaxime","IDN","Indonesia","South-East Asia Region",141,42,29.787234043
"Bloodstream","Salmonella spp.","Ceftazidime","IDN","Indonesia","South-East Asia Region",248,49,19.758064516
"Bloodstream","Salmonella spp.","Ceftriaxone","IDN","Indonesia","South-East Asia Region",193,32,16.580310881
"Bloodstream","Salmonella spp.","Ciprofloxacin","IDN","Indonesia","South-East Asia Region",110,28,25.454545455
"Bloodstream","Salmonella spp.","Doripenem","IDN","Indonesia","South-East Asia Region",24,0,0
"Bloodstream","Salmonella spp.","Ertapenem","IDN","Indonesia","South-East Asia Region",100,1,1
"Bloodstream","Salmonella spp.","Imipenem","IDN","Indonesia","South-East Asia Region",113,11,9.734513274
"Bloodstream","Salmonella spp.","Levofloxacin","IDN","Indonesia","South-East Asia Region",127,24,18.897637795
"Bloodstream","Salmonella spp.","Meropenem","IDN","Indonesia","South-East Asia Region",240,11,4.583333333
"Bloodstream","Salmonella spp.","Ceftriaxone","IND","India","South-East Asia Region",12,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","IND","India","South-East Asia Region",15,5,33.333333333
"Bloodstream","Salmonella spp.","Imipenem","IND","India","South-East Asia Region",11,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",10,3,30
"Bloodstream","Salmonella spp.","Ciprofloxacin","IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",12,4,33.333333333
"Bloodstream","Salmonella spp.","Cefotaxime","IRQ","Iraq","Eastern Mediterranean Region",86,82,95.348837209
"Bloodstream","Salmonella spp.","Ceftazidime","IRQ","Iraq","Eastern Mediterranean Region",92,80,86.956521739
"Bloodstream","Salmonella spp.","Ceftriaxone","IRQ","Iraq","Eastern Mediterranean Region",91,84,92.307692308
"Bloodstream","Salmonella spp.","Ciprofloxacin","IRQ","Iraq","Eastern Mediterranean Region",66,12,18.181818182
"Bloodstream","Salmonella spp.","Levofloxacin","IRQ","Iraq","Eastern Mediterranean Region",19,5,26.315789474
"Bloodstream","Salmonella spp.","Cefotaxime","ITA","Italy","European Region",123,1,0.81300813
"Bloodstream","Salmonella spp.","Ceftazidime","ITA","Italy","European Region",123,1,0.81300813
"Bloodstream","Salmonella spp.","Ciprofloxacin","ITA","Italy","European Region",123,43,34.959349593
"Bloodstream","Salmonella spp.","Meropenem","ITA","Italy","European Region",123,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","JOR","Jordan","Eastern Mediterranean Region",12,0,0
"Bloodstream","Salmonella spp.","Ceftazidime","JOR","Jordan","Eastern Mediterranean Region",15,1,6.666666667
"Bloodstream","Salmonella spp.","Imipenem","JOR","Jordan","Eastern Mediterranean Region",17,0,0
"Bloodstream","Salmonella spp.","Meropenem","JOR","Jordan","Eastern Mediterranean Region",15,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","JPN","Japan","Western Pacific Region",633,8,1.263823065
"Bloodstream","Salmonella spp.","Ceftazidime","JPN","Japan","Western Pacific Region",881,11,1.248581158
"Bloodstream","Salmonella spp.","Ceftriaxone","JPN","Japan","Western Pacific Region",668,8,1.19760479
"Bloodstream","Salmonella spp.","Ciprofloxacin","JPN","Japan","Western Pacific Region",509,2,0.392927308
"Bloodstream","Salmonella spp.","Imipenem","JPN","Japan","Western Pacific Region",764,0,0
"Bloodstream","Salmonella spp.","Levofloxacin","JPN","Japan","Western Pacific Region",843,5,0.59311981
"Bloodstream","Salmonella spp.","Meropenem","JPN","Japan","Western Pacific Region",875,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","KEN","Kenya","African Region",20,1,5
"Bloodstream","Salmonella spp.","Ceftazidime","KEN","Kenya","African Region",16,1,6.25
"Bloodstream","Salmonella spp.","Ceftriaxone","KEN","Kenya","African Region",29,2,6.896551724
"Bloodstream","Salmonella spp.","Ciprofloxacin","KEN","Kenya","African Region",32,1,3.125
"Bloodstream","Salmonella spp.","Meropenem","KEN","Kenya","African Region",28,1,3.571428571
"Bloodstream","Salmonella spp.","Ceftriaxone","KHM","Cambodia","Western Pacific Region",11,1,9.090909091
"Bloodstream","Salmonella spp.","Ciprofloxacin","KHM","Cambodia","Western Pacific Region",11,2,18.181818182
"Bloodstream","Salmonella spp.","Cefotaxime","KOR","Republic of Korea","Western Pacific Region",75,9,12
"Bloodstream","Salmonella spp.","Ceftazidime","KOR","Republic of Korea","Western Pacific Region",75,5,6.666666667
"Bloodstream","Salmonella spp.","Ciprofloxacin","KOR","Republic of Korea","Western Pacific Region",75,1,1.333333333
"Bloodstream","Salmonella spp.","Imipenem","KOR","Republic of Korea","Western Pacific Region",75,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","KWT","Kuwait","Eastern Mediterranean Region",13,2,15.384615385
"Bloodstream","Salmonella spp.","Ceftazidime","KWT","Kuwait","Eastern Mediterranean Region",10,1,10
"Bloodstream","Salmonella spp.","Ceftriaxone","KWT","Kuwait","Eastern Mediterranean Region",23,2,8.695652174
"Bloodstream","Salmonella spp.","Ciprofloxacin","KWT","Kuwait","Eastern Mediterranean Region",23,7,30.434782609
"Bloodstream","Salmonella spp.","Meropenem","KWT","Kuwait","Eastern Mediterranean Region",23,0,0
"Bloodstream","Salmonella spp.","Ceftriaxone","LAO","Lao People's Democratic Republic","Western Pacific Region",20,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","LKA","Sri Lanka","South-East Asia Region",32,1,3.125
"Bloodstream","Salmonella spp.","Ceftriaxone","LKA","Sri Lanka","South-East Asia Region",11,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","LKA","Sri Lanka","South-East Asia Region",36,5,13.888888889
"Bloodstream","Salmonella spp.","Imipenem","LKA","Sri Lanka","South-East Asia Region",16,0,0
"Bloodstream","Salmonella spp.","Meropenem","LKA","Sri Lanka","South-East Asia Region",29,0,0
"Bloodstream","Salmonella spp.","Ceftriaxone","MAR","Morocco","Eastern Mediterranean Region",10,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","MAR","Morocco","Eastern Mediterranean Region",10,6,60
"Bloodstream","Salmonella spp.","Cefotaxime","MLI","Mali","African Region",63,0,0
"Bloodstream","Salmonella spp.","Ceftriaxone","MLI","Mali","African Region",63,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","MLI","Mali","African Region",63,3,4.761904762
"Bloodstream","Salmonella spp.","Ertapenem","MLI","Mali","African Region",63,1,1.587301587
"Bloodstream","Salmonella spp.","Cefotaxime","MUS","Mauritius","African Region",13,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","MUS","Mauritius","African Region",13,0,0
"Bloodstream","Salmonella spp.","Ceftriaxone","MWI","Malawi","African Region",18,3,16.666666667
"Bloodstream","Salmonella spp.","Ciprofloxacin","MWI","Malawi","African Region",20,2,10
"Bloodstream","Salmonella spp.","Meropenem","MWI","Malawi","African Region",18,2,11.111111111
"Bloodstream","Salmonella spp.","Cefotaxime","MYS","Malaysia","Western Pacific Region",90,23,25.555555556
"Bloodstream","Salmonella spp.","Ceftazidime","MYS","Malaysia","Western Pacific Region",69,4,5.797101449
"Bloodstream","Salmonella spp.","Ceftriaxone","MYS","Malaysia","Western Pacific Region",828,49,5.917874396
"Bloodstream","Salmonella spp.","Ciprofloxacin","MYS","Malaysia","Western Pacific Region",798,17,2.130325815
"Bloodstream","Salmonella spp.","Ertapenem","MYS","Malaysia","Western Pacific Region",64,2,3.125
"Bloodstream","Salmonella spp.","Imipenem","MYS","Malaysia","Western Pacific Region",68,3,4.411764706
"Bloodstream","Salmonella spp.","Meropenem","MYS","Malaysia","Western Pacific Region",71,3,4.225352113
"Bloodstream","Salmonella spp.","Cefotaxime","NLD","Netherlands (Kingdom of the)","European Region",152,0,0
"Bloodstream","Salmonella spp.","Ceftazidime","NLD","Netherlands (Kingdom of the)","European Region",152,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","NLD","Netherlands (Kingdom of the)","European Region",152,58,38.157894737
"Bloodstream","Salmonella spp.","Meropenem","NLD","Netherlands (Kingdom of the)","European Region",152,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","NOR","Norway","European Region",86,2,2.325581395
"Bloodstream","Salmonella spp.","Ceftazidime","NOR","Norway","European Region",86,2,2.325581395
"Bloodstream","Salmonella spp.","Ciprofloxacin","NOR","Norway","European Region",86,23,26.744186047
"Bloodstream","Salmonella spp.","Meropenem","NOR","Norway","European Region",86,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","NPL","Nepal","South-East Asia Region",19,2,10.526315789
"Bloodstream","Salmonella spp.","Ciprofloxacin","NPL","Nepal","South-East Asia Region",34,19,55.882352941
"Bloodstream","Salmonella spp.","Levofloxacin","NPL","Nepal","South-East Asia Region",15,2,13.333333333
"Bloodstream","Salmonella spp.","Ceftazidime","OMN","Oman","Eastern Mediterranean Region",22,0,0
"Bloodstream","Salmonella spp.","Ceftriaxone","OMN","Oman","Eastern Mediterranean Region",90,2,2.222222222
"Bloodstream","Salmonella spp.","Ciprofloxacin","OMN","Oman","Eastern Mediterranean Region",89,2,2.247191011
"Bloodstream","Salmonella spp.","Ertapenem","OMN","Oman","Eastern Mediterranean Region",21,1,4.761904762
"Bloodstream","Salmonella spp.","Imipenem","OMN","Oman","Eastern Mediterranean Region",21,0,0
"Bloodstream","Salmonella spp.","Meropenem","OMN","Oman","Eastern Mediterranean Region",27,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","PAK","Pakistan","Eastern Mediterranean Region",52,32,61.538461538
"Bloodstream","Salmonella spp.","Ceftazidime","PAK","Pakistan","Eastern Mediterranean Region",48,17,35.416666667
"Bloodstream","Salmonella spp.","Ceftriaxone","PAK","Pakistan","Eastern Mediterranean Region",99,50,50.505050505
"Bloodstream","Salmonella spp.","Ciprofloxacin","PAK","Pakistan","Eastern Mediterranean Region",101,27,26.732673267
"Bloodstream","Salmonella spp.","Imipenem","PAK","Pakistan","Eastern Mediterranean Region",59,0,0
"Bloodstream","Salmonella spp.","Levofloxacin","PAK","Pakistan","Eastern Mediterranean Region",14,3,21.428571429
"Bloodstream","Salmonella spp.","Meropenem","PAK","Pakistan","Eastern Mediterranean Region",84,0,0
"Bloodstream","Salmonella spp.","Ceftriaxone","PER","Peru","Region of the Americas",15,5,33.333333333
"Bloodstream","Salmonella spp.","Ciprofloxacin","PER","Peru","Region of the Americas",27,5,18.518518519
"Bloodstream","Salmonella spp.","Cefotaxime","PHL","Philippines","Western Pacific Region",61,3,4.918032787
"Bloodstream","Salmonella spp.","Ceftriaxone","PHL","Philippines","Western Pacific Region",133,6,4.511278195
"Bloodstream","Salmonella spp.","Ciprofloxacin","PHL","Philippines","Western Pacific Region",97,11,11.340206186
"Bloodstream","Salmonella spp.","Ertapenem","PHL","Philippines","Western Pacific Region",40,0,0
"Bloodstream","Salmonella spp.","Imipenem","PHL","Philippines","Western Pacific Region",61,1,1.639344262
"Bloodstream","Salmonella spp.","Levofloxacin","PHL","Philippines","Western Pacific Region",19,4,21.052631579
"Bloodstream","Salmonella spp.","Meropenem","PHL","Philippines","Western Pacific Region",63,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","POL","Poland","European Region",76,0,0
"Bloodstream","Salmonella spp.","Ceftazidime","POL","Poland","European Region",41,0,0
"Bloodstream","Salmonella spp.","Ceftriaxone","POL","Poland","European Region",16,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","POL","Poland","European Region",78,34,43.58974359
"Bloodstream","Salmonella spp.","Ertapenem","POL","Poland","European Region",19,0,0
"Bloodstream","Salmonella spp.","Imipenem","POL","Poland","European Region",28,0,0
"Bloodstream","Salmonella spp.","Meropenem","POL","Poland","European Region",63,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","PSE","occupied Palestinian territory, including east Jerusalem","Eastern Mediterranean Region",11,0,0
"Bloodstream","Salmonella spp.","Ceftazidime","PSE","occupied Palestinian territory, including east Jerusalem","Eastern Mediterranean Region",10,0,0
"Bloodstream","Salmonella spp.","Ceftriaxone","PSE","occupied Palestinian territory, including east Jerusalem","Eastern Mediterranean Region",10,0,0
"Bloodstream","Salmonella spp.","Ceftazidime","QAT","Qatar","Eastern Mediterranean Region",42,0,0
"Bloodstream","Salmonella spp.","Ceftriaxone","QAT","Qatar","Eastern Mediterranean Region",42,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","QAT","Qatar","Eastern Mediterranean Region",41,7,17.073170732
"Bloodstream","Salmonella spp.","Ertapenem","QAT","Qatar","Eastern Mediterranean Region",40,0,0
"Bloodstream","Salmonella spp.","Imipenem","QAT","Qatar","Eastern Mediterranean Region",42,0,0
"Bloodstream","Salmonella spp.","Meropenem","QAT","Qatar","Eastern Mediterranean Region",40,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","RUS","Russian Federation","European Region",48,0,0
"Bloodstream","Salmonella spp.","Ceftazidime","RUS","Russian Federation","European Region",55,1,1.818181818
"Bloodstream","Salmonella spp.","Ceftriaxone","RUS","Russian Federation","European Region",25,0,0
"Bloodstream","Salmonella spp.","Ertapenem","RUS","Russian Federation","European Region",28,0,0
"Bloodstream","Salmonella spp.","Imipenem","RUS","Russian Federation","European Region",30,2,6.666666667
"Bloodstream","Salmonella spp.","Meropenem","RUS","Russian Federation","European Region",49,0,0
"Bloodstream","Salmonella spp.","Ceftriaxone","SAU","Saudi Arabia","Eastern Mediterranean Region",36,4,11.111111111
"Bloodstream","Salmonella spp.","Ciprofloxacin","SAU","Saudi Arabia","Eastern Mediterranean Region",37,9,24.324324324
"Bloodstream","Salmonella spp.","Imipenem","SAU","Saudi Arabia","Eastern Mediterranean Region",27,1,3.703703704
"Bloodstream","Salmonella spp.","Levofloxacin","SAU","Saudi Arabia","Eastern Mediterranean Region",21,5,23.80952381
"Bloodstream","Salmonella spp.","Meropenem","SAU","Saudi Arabia","Eastern Mediterranean Region",27,1,3.703703704
"Bloodstream","Salmonella spp.","Cefotaxime","SGP","Singapore","Western Pacific Region",23,1,4.347826087
"Bloodstream","Salmonella spp.","Ceftriaxone","SGP","Singapore","Western Pacific Region",37,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","SGP","Singapore","Western Pacific Region",60,4,6.666666667
"Bloodstream","Salmonella spp.","Meropenem","SGP","Singapore","Western Pacific Region",23,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","THA","Thailand","South-East Asia Region",255,22,8.62745098
"Bloodstream","Salmonella spp.","Ceftriaxone","THA","Thailand","South-East Asia Region",404,19,4.702970297
"Bloodstream","Salmonella spp.","Ciprofloxacin","THA","Thailand","South-East Asia Region",475,17,3.578947368
"Bloodstream","Salmonella spp.","Ertapenem","THA","Thailand","South-East Asia Region",360,0,0
"Bloodstream","Salmonella spp.","Imipenem","THA","Thailand","South-East Asia Region",352,1,0.284090909
"Bloodstream","Salmonella spp.","Levofloxacin","THA","Thailand","South-East Asia Region",206,6,2.912621359
