Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Klebsiella pneumoniae","Meropenem","BHR","Bahrain","Eastern Mediterranean Region",231,85,36.796536797
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","BIH","Bosnia and Herzegovina","European Region",377,312,82.75862069
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","BIH","Bosnia and Herzegovina","European Region",379,309,81.530343008
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","BIH","Bosnia and Herzegovina","European Region",377,310,82.228116711
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","BIH","Bosnia and Herzegovina","European Region",379,290,76.517150396
"Bloodstream","Klebsiella pneumoniae","Colistin","BIH","Bosnia and Herzegovina","European Region",14,1,7.142857143
"Bloodstream","Klebsiella pneumoniae","Ertapenem","BIH","Bosnia and Herzegovina","European Region",288,135,46.875
"Bloodstream","Klebsiella pneumoniae","Imipenem","BIH","Bosnia and Herzegovina","European Region",378,150,39.682539683
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","BIH","Bosnia and Herzegovina","European Region",310,229,73.870967742
"Bloodstream","Klebsiella pneumoniae","Meropenem","BIH","Bosnia and Herzegovina","European Region",379,168,44.327176781
"Bloodstream","Klebsiella pneumoniae","Cefepime","BRA","Brazil","Region of the Americas",758,505,66.622691293
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","BRA","Brazil","Region of the Americas",610,424,69.508196721
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","BRA","Brazil","Region of the Americas",753,524,69.588313413
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","BRA","Brazil","Region of the Americas",758,507,66.886543536
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","BRA","Brazil","Region of the Americas",357,231,64.705882353
"Bloodstream","Klebsiella pneumoniae","Ertapenem","BRA","Brazil","Region of the Americas",624,321,51.442307692
"Bloodstream","Klebsiella pneumoniae","Imipenem","BRA","Brazil","Region of the Americas",97,43,44.329896907
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","BRA","Brazil","Region of the Americas",45,33,73.333333333
"Bloodstream","Klebsiella pneumoniae","Meropenem","BRA","Brazil","Region of the Americas",743,305,41.049798116
"Bloodstream","Klebsiella pneumoniae","Cefepime","BRN","Brunei Darussalam","Western Pacific Region",162,20,12.345679012
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","BRN","Brunei Darussalam","Western Pacific Region",202,23,11.386138614
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","BRN","Brunei Darussalam","Western Pacific Region",203,22,10.837438424
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","BRN","Brunei Darussalam","Western Pacific Region",205,21,10.243902439
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","BRN","Brunei Darussalam","Western Pacific Region",204,27,13.235294118
"Bloodstream","Klebsiella pneumoniae","Ertapenem","BRN","Brunei Darussalam","Western Pacific Region",150,0,0
"Bloodstream","Klebsiella pneumoniae","Imipenem","BRN","Brunei Darussalam","Western Pacific Region",203,0,0
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","BRN","Brunei Darussalam","Western Pacific Region",65,10,15.384615385
"Bloodstream","Klebsiella pneumoniae","Meropenem","BRN","Brunei Darussalam","Western Pacific Region",204,0,0
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","BTN","Bhutan","South-East Asia Region",14,12,85.714285714
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","BTN","Bhutan","South-East Asia Region",14,9,64.285714286
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","BTN","Bhutan","South-East Asia Region",13,8,61.538461538
"Bloodstream","Klebsiella pneumoniae","Cefepime","CAN","Canada","Region of the Americas",176,11,6.25
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","CAN","Canada","Region of the Americas",649,48,7.395993837
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","CAN","Canada","Region of the Americas",802,89,11.097256858
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","CAN","Canada","Region of the Americas",2209,281,12.720688094
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","CAN","Canada","Region of the Americas",2072,290,13.996138996
"Bloodstream","Klebsiella pneumoniae","Ertapenem","CAN","Canada","Region of the Americas",603,10,1.658374793
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","CAN","Canada","Region of the Americas",178,5,2.808988764
"Bloodstream","Klebsiella pneumoniae","Meropenem","CAN","Canada","Region of the Americas",760,10,1.315789474
"Bloodstream","Klebsiella pneumoniae","Cefepime","CHE","Switzerland","European Region",1657,97,5.853952927
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","CHE","Switzerland","European Region",144,8,5.555555556
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","CHE","Switzerland","European Region",1658,128,7.720144753
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","CHE","Switzerland","European Region",1400,128,9.142857143
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","CHE","Switzerland","European Region",1678,181,10.786650775
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","CHE","Switzerland","European Region",1597,202,12.648716343
"Bloodstream","Klebsiella pneumoniae","Colistin","CHE","Switzerland","European Region",50,1,2
"Bloodstream","Klebsiella pneumoniae","Ertapenem","CHE","Switzerland","European Region",1371,33,2.407002188
"Bloodstream","Klebsiella pneumoniae","Imipenem","CHE","Switzerland","European Region",1499,14,0.933955971
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","CHE","Switzerland","European Region",637,47,7.37833595
"Bloodstream","Klebsiella pneumoniae","Meropenem","CHE","Switzerland","European Region",1239,13,1.049233253
"Bloodstream","Klebsiella pneumoniae","Cefepime","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",16,12,75
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",16,12,75
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",16,12,75
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",16,12,75
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",16,10,62.5
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",16,13,81.25
"Bloodstream","Klebsiella pneumoniae","Colistin","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",16,16,100
"Bloodstream","Klebsiella pneumoniae","Ertapenem","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",16,3,18.75
"Bloodstream","Klebsiella pneumoniae","Imipenem","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",16,3,18.75
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",16,10,62.5
"Bloodstream","Klebsiella pneumoniae","Meropenem","CIV","C<U+00F4>te d<U+2019>Ivoire","African Region",16,3,18.75
"Bloodstream","Klebsiella pneumoniae","Cefepime","CMR","Cameroon","African Region",47,34,72.340425532
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","CMR","Cameroon","African Region",62,51,82.258064516
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","CMR","Cameroon","African Region",75,54,72
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","CMR","Cameroon","African Region",29,22,75.862068966
